amount,age,,,
178.9  ,0,,,
180.4  ,1,,,
183.8  ,2,,,
182.0  ,3,,,
180.7  ,4,,,
184.5  ,5,,,
185.7  ,6,,,
184.4  ,7,,,
182.2  ,8,,,
179.9  ,9,,,
176.4  ,10,,,
173.9  ,11,,,
171.5  ,12,,,
169.4  ,13,,,
167.2  ,14,,,
163.1  ,15,,,
158.9  ,16,,,
154.9  ,17,,,
151.2  ,18,,,
149.6  ,19,,,
149.9  ,20,,,
147.3  ,21,,,
142.8  ,22,,,
140.2  ,23,,,
137.5  ,24,,,
135.5  ,25,,,
133.6  ,26,,,
130.7  ,27,,,
127.8  ,28,,,
125.8  ,29,,,
125.2  ,30,,,
124.3  ,31,,,
123.4  ,32,,,
122.5  ,33,,,
121.7  ,34,,,
121.2  ,35,,,
120.3  ,36,,,
119.3  ,37,,,
118.5  ,38,,,
117.6  ,39,,,
117.2  ,40,,,
115.3  ,41,,,
112.3  ,42,,,
110.8  ,43,,,
110.0  ,44,,,
109.0  ,45 ,,,
109.8  ,46 ,,,
112.3  ,47 ,,,
112.6  ,48 ,,,
109.6  ,49 ,,,
106.1  ,50 ,,,
103.2  ,51 ,,,
101.9  ,52 ,,,
99.8  ,53 ,,,
95.2  ,54 ,,,
90.6  ,55 ,,,
85.5  ,56 ,,,
83.3  ,57 ,,,
83.5  ,58 ,,,
81.9  ,59 ,,,
79.7  ,60 ,,,
78.0  ,61 ,,,
77.4  ,62 ,,,
78.1  ,63 ,,,
77.7  ,64 ,,,
75.4  ,65 ,,,
74.0  ,66 ,,,
72.8  ,67 ,,,
72.6  ,68 ,,,
71.3  ,69 ,,,
69.7  ,70 ,,,
69.7  ,71 ,,,
69.0  ,72 ,,,
67.1  ,73 ,,,
62.5  ,74 ,,,
58.3  ,75 ,,,
59.4  ,76 ,,,
57.7  ,77 ,,,
47.9  ,78 ,,,
37.9  ,79 ,,,
31.5  ,80 ,,,
27.7  ,81 ,,,
26.7  ,82 ,,,
26.6  ,83 ,,,
25.7  ,84 ,,,
23.3 ,85 ,,,
21.8 ,86 ,,,
20.3 ,87 ,,,
18.9 ,88 ,,,
16.8 ,89 ,,,
11.2 ,90 ,,,
9.7 ,91 ,,,
8.4 ,92 ,,,
7.1 ,93 ,,,
6.3 ,94 ,,,
18.0  ,95+,,,
